variable,importancia
study_hours,0.2447
time_management_score,0.1465
motivation_level,0.1336
assignments_completed,0.1204
practice_tests_taken,0.0713
notes_quality_score,0.0704
attendance,0.064
screen_time,0.0407
social_media_hours,0.0377
mental_health_score,0.0345
sleep_hours,0.022
group_study_hours,0.0107
gender_Male,0.0008
family_income,0.0006
gender_Female,0.0006
age,0.0004
device_type_Mobile,0.0003
parent_education,0.0003
device_type_Laptop,0.0002
extracurriculars_Sports,0.0002
school_type,0.0
internet_access,0.0
gender_Other,0.0
device_type_None,0.0
extracurriculars_Arts,0.0
device_type_Tablet,0.0
extracurriculars_Coding Club,0.0
extracurriculars_Debate,0.0
extracurriculars_Music,0.0
extracurriculars_None,0.0
