student_id,cluster_kmeans,cluster_kmedoids
2,1,0
5,3,2
9,3,1
10,2,0
12,3,2
13,1,0
15,2,3
16,3,3
19,1,2
20,2,3
23,2,2
24,3,2
26,0,1
27,3,1
28,2,3
31,3,0
32,3,0
33,0,0
34,2,2
35,0,2
37,3,1
38,0,1
39,2,0
45,0,3
46,0,1
48,3,3
49,2,0
50,1,2
52,2,0
55,2,2
57,0,2
58,0,1
59,3,3
60,3,3
62,2,3
63,2,0
64,2,1
65,2,2
67,0,3
68,1,3
69,2,0
71,0,2
73,1,2
76,1,1
78,1,0
79,1,2
80,0,0
81,0,2
82,2,2
86,1,0
87,1,0
91,2,2
92,3,1
93,3,1
94,1,1
95,3,0
97,0,1
103,0,3
104,1,0
108,0,2
111,3,2
112,1,2
113,2,0
114,2,3
115,3,3
117,2,3
121,2,0
122,1,1
124,1,1
125,2,0
126,0,0
128,3,0
129,3,0
130,3,3
131,1,0
132,0,2
133,2,2
134,2,2
136,1,1
138,0,1
139,3,1
140,2,0
142,1,2
143,1,2
144,1,3
145,2,0
150,1,0
151,3,0
153,0,1
154,0,0
155,1,3
156,3,2
160,2,3
161,2,0
163,0,2
168,1,3
169,1,1
172,0,1
173,3,1
174,2,2
176,2,3
179,0,3
180,0,2
182,3,2
189,3,3
191,1,1
194,3,3
195,0,3
197,1,0
198,1,2
199,3,2
202,3,2
205,0,1
206,2,2
207,0,1
208,0,3
209,1,0
212,0,3
213,0,3
215,3,3
216,2,2
219,1,2
220,1,2
221,0,2
222,3,2
224,3,2
225,2,2
227,0,2
228,0,1
231,3,3
232,2,3
235,2,3
236,3,0
237,3,1
238,0,3
240,0,2
242,0,1
243,0,0
244,2,0
246,0,1
247,3,3
248,1,0
249,0,3
252,3,2
253,1,0
254,0,2
256,0,2
257,2,2
258,2,0
259,2,2
260,3,2
261,2,2
262,2,3
266,1,0
267,1,2
268,2,0
270,1,3
272,1,3
273,2,0
276,2,2
278,3,2
279,3,3
280,0,2
284,0,3
285,2,3
288,1,0
290,2,0
291,2,0
292,2,2
293,0,2
296,1,2
297,0,1
298,2,0
299,1,2
300,2,0
301,2,3
302,2,2
