vista,k,inercia,silueta
A_completa_31,2,630436.5,0.1198
A_completa_31,3,564470.1,0.1247
A_completa_31,4,531747.3,0.1132
A_completa_31,5,510966.0,0.098
A_completa_31,6,498581.6,0.094
A_completa_31,7,480687.2,0.104
A_completa_31,8,470268.2,0.1025
A_completa_31,9,456736.2,0.1028
A_completa_31,10,448829.7,0.0973
B_numerica_14,2,80617.5,0.1759
B_numerica_14,3,78008.7,0.1077
B_numerica_14,4,75416.1,0.0615
B_numerica_14,5,73666.9,0.0577
B_numerica_14,6,71922.5,0.0565
B_numerica_14,7,70578.3,0.0539
B_numerica_14,8,69224.5,0.0534
B_numerica_14,9,68170.2,0.0533
B_numerica_14,10,67113.0,0.0525
C_conductual_12,2,64878.1,0.0744
C_conductual_12,3,61394.1,0.0643
C_conductual_12,4,58689.6,0.0617
C_conductual_12,5,56576.1,0.062
C_conductual_12,6,55108.0,0.0592
C_conductual_12,7,54026.5,0.0564
C_conductual_12,8,53013.1,0.0556
C_conductual_12,9,52028.0,0.057
C_conductual_12,10,51171.8,0.0564
