estrategia,max_depth,min_samples_leaf,accuracy_valid,recall_fail_valid,hojas
original,4.0,1,0.7062,0.4861,16
original,4.0,50,0.7062,0.4861,16
original,4.0,200,0.7062,0.4861,16
original,4.0,500,0.7062,0.4861,16
original,6.0,1,0.724,0.5945,64
original,6.0,50,0.724,0.5945,64
original,6.0,200,0.724,0.5945,64
original,6.0,500,0.724,0.5945,64
original,8.0,1,0.737,0.6452,256
original,8.0,50,0.7374,0.6441,252
original,8.0,200,0.7377,0.6397,226
original,8.0,500,0.7333,0.6196,156
original,10.0,1,0.744,0.6257,963
original,10.0,50,0.7454,0.6387,799
original,10.0,200,0.7408,0.6143,402
original,10.0,500,0.7365,0.6059,179
original,12.0,1,0.7402,0.6392,2903
original,12.0,50,0.7476,0.6544,1415
original,12.0,200,0.7418,0.6202,438
original,12.0,500,0.7365,0.6059,182
original,16.0,1,0.7275,0.6509,10035
original,16.0,50,0.7503,0.6613,1680
original,16.0,200,0.7418,0.6202,442
original,16.0,500,0.7365,0.6059,182
original,,1,0.7158,0.6481,14720
original,,50,0.7503,0.6613,1680
original,,200,0.7418,0.6202,442
original,,500,0.7365,0.6059,182
ponderacion,4.0,1,0.6826,0.7055,16
ponderacion,4.0,50,0.6826,0.7055,16
ponderacion,4.0,200,0.6826,0.7055,16
ponderacion,4.0,500,0.6826,0.7055,16
ponderacion,6.0,1,0.7158,0.7146,64
ponderacion,6.0,50,0.7158,0.7146,64
ponderacion,6.0,200,0.7158,0.7146,64
ponderacion,6.0,500,0.7158,0.7146,64
ponderacion,8.0,1,0.7279,0.7153,256
ponderacion,8.0,50,0.7279,0.717,254
ponderacion,8.0,200,0.7249,0.7223,231
ponderacion,8.0,500,0.7228,0.7312,162
ponderacion,10.0,1,0.7364,0.7238,988
ponderacion,10.0,50,0.7375,0.7318,821
ponderacion,10.0,200,0.7321,0.7416,426
ponderacion,10.0,500,0.7239,0.7341,183
ponderacion,12.0,1,0.733,0.7246,3017
ponderacion,12.0,50,0.7378,0.7489,1489
ponderacion,12.0,200,0.731,0.7446,453
ponderacion,12.0,500,0.7239,0.7341,183
ponderacion,16.0,1,0.7168,0.6822,10817
ponderacion,16.0,50,0.737,0.7544,1709
ponderacion,16.0,200,0.731,0.7446,453
ponderacion,16.0,500,0.7239,0.7341,183
ponderacion,,1,0.7103,0.6447,16741
ponderacion,,50,0.7366,0.7537,1713
ponderacion,,200,0.731,0.7446,453
ponderacion,,500,0.7239,0.7341,183
sobremuestreo,4.0,1,0.6835,0.7065,16
sobremuestreo,4.0,50,0.6835,0.7065,16
sobremuestreo,4.0,200,0.6835,0.7065,16
sobremuestreo,4.0,500,0.6835,0.7065,16
sobremuestreo,6.0,1,0.7107,0.7339,64
sobremuestreo,6.0,50,0.7107,0.7339,64
sobremuestreo,6.0,200,0.7107,0.7339,64
sobremuestreo,6.0,500,0.7102,0.7343,64
sobremuestreo,8.0,1,0.7197,0.7454,256
sobremuestreo,8.0,50,0.7202,0.7475,256
sobremuestreo,8.0,200,0.7184,0.7527,233
sobremuestreo,8.0,500,0.718,0.7379,179
sobremuestreo,10.0,1,0.7348,0.7253,978
sobremuestreo,10.0,50,0.7333,0.7343,847
sobremuestreo,10.0,200,0.7304,0.7397,467
sobremuestreo,10.0,500,0.724,0.7329,221
sobremuestreo,12.0,1,0.7331,0.727,2920
sobremuestreo,12.0,50,0.7381,0.7324,1578
sobremuestreo,12.0,200,0.7319,0.7371,524
sobremuestreo,12.0,500,0.724,0.7329,222
sobremuestreo,16.0,1,0.7198,0.6766,9980
sobremuestreo,16.0,50,0.7386,0.727,2033
sobremuestreo,16.0,200,0.7319,0.7371,529
sobremuestreo,16.0,500,0.724,0.7329,222
sobremuestreo,,1,0.7148,0.6416,15012
sobremuestreo,,50,0.7388,0.7276,2037
sobremuestreo,,200,0.7319,0.7371,529
sobremuestreo,,500,0.724,0.7329,222
submuestreo,4.0,1,0.6658,0.7934,16
submuestreo,4.0,50,0.6658,0.7934,16
submuestreo,4.0,200,0.6658,0.7934,16
submuestreo,4.0,500,0.6658,0.7934,16
submuestreo,6.0,1,0.7151,0.7236,64
submuestreo,6.0,50,0.7151,0.7236,64
submuestreo,6.0,200,0.7151,0.7222,64
submuestreo,6.0,500,0.7166,0.7083,63
submuestreo,8.0,1,0.7267,0.7547,255
submuestreo,8.0,50,0.7267,0.7539,249
submuestreo,8.0,200,0.7263,0.7514,215
submuestreo,8.0,500,0.7152,0.7449,133
submuestreo,10.0,1,0.732,0.739,956
submuestreo,10.0,50,0.7342,0.7506,734
submuestreo,10.0,200,0.729,0.7416,342
submuestreo,10.0,500,0.7168,0.7367,142
submuestreo,12.0,1,0.7272,0.7335,2751
submuestreo,12.0,50,0.7351,0.7498,1211
submuestreo,12.0,200,0.7277,0.7432,356
submuestreo,12.0,500,0.7168,0.7367,142
submuestreo,16.0,1,0.708,0.7158,8565
submuestreo,16.0,50,0.7356,0.7523,1357
submuestreo,16.0,200,0.7277,0.7432,356
submuestreo,16.0,500,0.7168,0.7367,142
submuestreo,,1,0.7031,0.7039,12007
submuestreo,,50,0.7355,0.7523,1358
submuestreo,,200,0.7277,0.7432,356
submuestreo,,500,0.7168,0.7367,142
